Date,Day,Branch,Open,Close,Reason,ReturnChutesOpen
2025-12-13,Saturday,Kippax,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-13,Saturday,Tuggeranong,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-13,Saturday,Woden,10:00,16:00,Summer Hours 2025-6,TRUE
2025-12-14,Sunday,Belconnen,,,Summer Hours 2025-6,TRUE
2025-12-14,Sunday,Civic,,,Summer Hours 2025-6,TRUE
2025-12-14,Sunday,Dickson,,,Summer Hours 2025-6,TRUE
2025-12-14,Sunday,Erindale,,,Summer Hours 2025-6,TRUE
2025-12-14,Sunday,Gungahlin,,,Summer Hours 2025-6,TRUE
2025-12-14,Sunday,Kingston,,,Summer Hours 2025-6,TRUE
2025-12-14,Sunday,Kippax,,,Summer Hours 2025-6,TRUE
2025-12-14,Sunday,Tuggeranong,,,Summer Hours 2025-6,TRUE
2025-12-14,Sunday,Woden,,,Summer Hours 2025-6,TRUE
2025-12-15,Monday,Belconnen,,,Summer Hours 2025-6,TRUE
2025-12-15,Monday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-15,Monday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-15,Monday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-15,Monday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-15,Monday,Kingston,,,Summer Hours 2025-6,TRUE
2025-12-15,Monday,Kippax,,,Summer Hours 2025-6,TRUE
2025-12-15,Monday,Tuggeranong,,,Summer Hours 2025-6,TRUE
2025-12-15,Monday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-16,Tuesday,Belconnen,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-16,Tuesday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-16,Tuesday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-16,Tuesday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-16,Tuesday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-16,Tuesday,Kingston,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-16,Tuesday,Kippax,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-16,Tuesday,Tuggeranong,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-16,Tuesday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-17,Wednesday,Belconnen,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-17,Wednesday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-17,Wednesday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-17,Wednesday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-17,Wednesday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-17,Wednesday,Kingston,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-17,Wednesday,Kippax,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-17,Wednesday,Tuggeranong,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-17,Wednesday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-18,Thursday,Belconnen,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-18,Thursday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-18,Thursday,Dickson,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-18,Thursday,Erindale,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-18,Thursday,Gungahlin,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-18,Thursday,Kingston,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-18,Thursday,Kippax,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-18,Thursday,Tuggeranong,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-18,Thursday,Woden,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-19,Friday,Belconnen,10:00,17:30,Summer Hours 2025-6,TRUE
2025-12-19,Friday,Civic,10:00,17:30,Summer Hours 2025-6,TRUE
